FID,est_geom,id_tup,idttup,concessionaria,status,numero,dtativacao,dataultimacomunicacao,siglauf,nomemunicipio,localidade,bairro,logradouro,complemento,cep,deficientecadeirante,deficienteaudio,vintequatrohoras,latitude,longitude,metadado
TUP.fid--3508969f_1758e5f878d_-16a5,POINT (-52.413888 -31.799444),1482651474,1,OI,DISPONIVEL,(53) 32759391,25/03/2001,14/07/2015 05h06,RS,CAPÃO DO LEÃO,Capão do Leão,JARDIM AMERICA,DOS IPES,- A,96160000,NAO,NAO,SIM,-31.799444,-52.413888,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758e5f878d_-16a4,POINT (-47.965277 -19.737499),1482651475,31,CTBC,DISPONIVEL,(34) 33156476,24/06/2001,01/11/2018 07h05,MG,UBERABA,Uberaba,GRANDE HORIZONTE,AL DOURADA,0,38057120,NAO,NAO,SIM,-19.737499,-47.965277,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758e5f878d_-16a3,POINT (-47.963611 -19.756388),1482651476,49,CTBC,DISPONIVEL,(34) 33118307,16/07/2010,01/11/2018 04h42,MG,UBERABA,Uberaba,OLINDA,AV AFRANIO AZEVEDO,0,38055470,SIM,NAO,NAO,-19.756388,-47.963611,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758e5f878d_-16a2,POINT (-47.888055 -19.97611),1482651477,58,CTBC,DISPONIVEL,(34) 33363716,08/06/1996,22/10/2018 12h40,MG,UBERABA,Uberaba,RECREIO DOS BANDEIRANTES,AV FILOMENA CARTAFINA,KM 30,38040450,NAO,NAO,SIM,-19.97611,-47.888055,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758e5f878d_-16a1,POINT (-47.914444 -19.756111),1482651478,70,CTBC,DISPONIVEL,(34) 33134225,29/10/2004,01/11/2018 04h11,MG,UBERABA,Uberaba,PARQUE DO MIRANTE,AV LEOPOLDINO DE OLIVEIRA,0,38026545,NAO,NAO,SIM,-19.756111,-47.914444,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758e5f878d_-16a0,POINT (-47.989444 -19.752777),1482651479,90,CTBC,DISPONIVEL,(34) 33117427,03/09/2002,01/11/2018 07h28,MG,UBERABA,Uberaba,BEIJA FLOR II,R FLORIZA FONTOURA ROSA,0,38051401,NAO,NAO,SIM,-19.752777,-47.989444,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758e5f878d_-169f,POINT (-47.958333 -19.758055),1482651480,91,CTBC,DISPONIVEL,(34) 33219456,12/08/2005,31/10/2018 07h07,MG,UBERABA,Uberaba,SANTA MARIA,R AMAPA,0,38050410,NAO,NAO,NAO,-19.758055,-47.958333,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758e5f878d_-169e,POINT (-47.933054 -19.73111),1482651481,112,CTBC,DISPONIVEL,(34) 33172378,18/05/2001,01/11/2018 03h08,MG,UBERABA,Uberaba,FABRICIO,R EQUADOR,0,38067150,NAO,NAO,SIM,-19.73111,-47.933054,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758e5f878d_-169d,POINT (-47.967777 -19.769999),1482651482,114,CTBC,DISPONIVEL,(34) 33156766,16/05/2001,31/10/2018 15h42,MG,UBERABA,Uberaba,PLANALTO,AV MAURA CHESCA DA CRUZ,0,38045739,NAO,NAO,SIM,-19.769999,-47.967777,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
TUP.fid--3508969f_1758e5f878d_-169c,POINT (-47.941666 -19.760277),1482651483,121,CTBC,DISPONIVEL,(34) 33111438,12/04/2001,31/10/2018 10h44,MG,UBERABA,Uberaba,SAO BENEDITO,AV FRANCISCO PAGLIARO,0,38020340,NAO,NAO,SIM,-19.760277,-47.941666,"<a href=""http://sistemas.anatel.gov.br/geonetwork/srv/por/metadata.show?id=16&currTab=simple"" target=""_blank"">Acessar</a>"
